237,109,282,260
252,130,274,286
249,110,267,264
236,112,268,264
225,106,271,259
231,106,265,267
244,115,258,276
245,140,253,297
227,116,244,272
232,121,245,268
245,120,246,257
246,133,249,254
244,146,252,248
259,161,259,238
267,164,259,234
272,163,259,233
281,158,262,222
287,153,263,215
290,146,261,211
290,133,254,199
298,132,255,194
306,132,252,195
311,162,253,220
320,174,253,222
319,178,250,220
326,186,245,216
322,195,238,215
329,199,239,211
327,191,241,217
323,179,248,226
321,172,250,232
315,172,251,236
313,169,250,236
311,164,249,236
313,155,250,233
309,144,246,224
315,139,243,219
323,129,235,216
330,126,230,212
338,126,225,208
348,134,217,207
351,134,211,202
356,136,208,197
334,156,174,204
337,158,173,200
342,159,172,197
348,145,173,187
351,139,174,189
346,131,177,185
328,123,171,189
309,119,160,184
298,115,164,187
303,98,174,192
313,93,180,194
321,92,185,198
305,103,169,219
309,105,175,218
320,112,184,215
334,112,195,208
346,104,206,203
327,109,189,215
317,100,197,216
311,94,205,218
309,82,212,216
296,92,196,241
305,92,202,236
314,91,203,230
330,92,205,214
329,98,198,215
315,128,180,228
321,141,190,217
324,143,193,211
343,130,200,209
322,122,196,228
308,120,202,231
311,112,207,228
332,96,218,213
336,98,210,215
324,120,188,222
342,126,190,206
349,126,192,198
355,126,191,193
332,119,179,203
333,112,183,203
323,103,194,203
314,102,180,221
326,104,181,224
334,108,190,220
346,121,203,209
318,150,178,224
335,153,183,219
353,153,189,206
357,141,197,201
328,145,177,215
337,123,199,210
349,118,199,213
334,133,180,218
352,141,191,209
361,140,195,201
352,157,180,209
345,167,169,195
343,175,176,189
337,187,181,187
330,196,164,194
340,185,176,200
343,172,185,201
322,155,176,203
335,148,185,200
349,148,193,191
330,164,169,190
336,179,174,183
339,184,175,177
349,194,185,168
332,199,163,170
341,200,169,172
351,186,187,179
347,178,185,184
332,173,167,189
340,175,169,189
342,175,170,192
341,174,170,191
340,175,172,192
337,180,169,192
326,190,159,180
301,198,137,175
298,197,129,183
289,195,127,188
319,198,152,191
314,199,154,190
311,204,156,186
295,216,166,177
302,228,173,176
316,237,180,178
332,233,192,183
308,228,167,184
308,229,173,185
311,229,177,184
310,228,171,184
306,227,170,185
312,226,173,185
316,218,178,186
320,220,183,186
334,230,197,182
339,236,199,184
321,225,181,168
316,236,177,165
313,234,177,165
317,235,179,166
321,238,180,165
316,242,183,158
311,250,189,154
311,258,193,148
315,263,196,151
323,267,199,146
320,249,188,123
319,246,182,119
326,239,186,122
331,229,195,132
345,229,204,137
352,236,201,145
335,229,175,132
337,235,178,137
329,240,187,143
314,242,178,133
301,245,172,133
300,254,178,136
323,260,191,147
331,259,195,151
332,247,192,156
326,215,180,153
338,217,188,160
351,224,198,161
329,224,180,145
333,235,192,143
335,241,196,142
314,242,194,131
294,245,182,130
296,252,186,133
310,265,194,147
322,263,196,157
331,259,203,164
321,238,185,164
332,245,193,162
337,257,194,165
308,249,179,141
304,259,186,139
305,266,192,137
300,282,208,135
303,291,214,139
294,281,206,131
306,268,203,129
313,267,202,137
319,263,200,147
303,227,178,129
312,228,183,135
322,237,191,139
329,256,202,145
332,261,208,148
326,268,217,144
303,255,199,119
