247,123,239,181,249,235,,
254,147,238,178,248,234,279,270
232,149,240,203,274,249,,
231,151,241,202,273,248,,
238,117,232,152,244,204,274,242
240,120,230,152,241,202,273,252
231,149,243,203,267,262,,
231,149,244,203,266,261,,
214,127,231,172,256,229,,
216,126,233,172,256,229,,
228,122,235,174,256,228,,
233,125,236,174,257,228,,
238,131,234,173,258,223,,
247,148,228,169,260,219,,
246,146,230,170,260,217,,
246,145,230,171,261,216,,
245,143,231,173,260,206,,
245,144,232,174,259,199,,
276,156,245,143,233,176,,
285,149,246,143,229,174,,
287,143,245,143,230,174,,
288,142,245,142,230,174,,
285,168,244,165,231,201,,
282,173,244,169,232,206,,
282,172,244,168,229,205,,
314,175,283,172,243,168,229,204
318,179,282,172,244,168,222,200
320,185,283,171,244,168,225,202
317,178,283,172,248,167,229,206
289,173,249,167,229,206,,
292,173,250,167,227,204,,
296,173,249,166,228,204,,
297,173,249,166,227,203,,
297,173,249,166,229,206,,
302,168,248,166,230,207,,
306,160,251,167,227,205,,
306,153,252,168,230,208,,
305,151,250,168,224,204,,
304,152,250,167,218,199,,
304,152,249,167,214,195,,
331,134,304,153,249,168,210,191
334,134,303,154,251,168,208,185
339,134,304,152,250,168,207,180
318,153,274,170,222,186,179,188
321,154,274,170,222,186,181,185
320,155,272,172,220,186,182,184
314,153,273,171,219,185,188,179
313,154,272,172,220,186,,
312,154,271,173,219,185,,
329,140,295,164,257,180,203,193
310,136,279,163,240,180,183,192
306,130,276,164,238,181,185,193
305,126,278,165,238,181,190,196
305,126,273,166,234,183,197,197
306,128,275,166,235,183,202,198
289,110,274,146,238,188,200,203
293,108,273,145,238,188,199,204
303,110,273,144,239,187,200,203
312,111,272,149,236,189,,
311,111,272,146,235,190,,
292,130,251,162,206,212,,
315,116,281,139,239,175,213,214
314,110,278,139,239,175,220,212
311,101,280,139,238,175,226,207
282,130,249,170,206,211,,
290,100,282,132,250,172,206,214
298,96,282,130,246,173,206,213
313,93,281,133,248,173,210,198
312,99,272,139,238,181,204,199
299,125,254,164,217,206,,
308,131,254,160,218,206,,
311,134,254,161,209,208,,
305,130,254,159,217,206,,
321,139,277,151,231,182,212,222
312,136,268,156,221,190,,
311,129,269,157,221,190,,
312,129,272,158,222,190,,
306,131,260,164,212,198,,
307,121,281,151,234,182,193,198
324,124,281,149,235,183,199,191
327,124,280,152,234,183,,
328,124,278,153,231,184,,
329,136,294,144,249,171,196,203
331,129,297,145,249,169,200,203
329,119,294,145,248,171,211,203
