248,126
254,150
246,130
245,129
239,120
241,124
241,135
228,152
212,129
214,128
225,123
230,125
236,129
246,146
251,152
254,154
261,156
268,158
273,156
284,151
285,146
289,141
292,165
301,169
303,168
312,172
316,177
319,182
314,177
305,172
301,173
295,174
294,174
294,174
300,169
304,163
306,156
308,144
313,139
319,135
327,134
331,134
336,134
315,152
318,153
322,155
330,154
335,152
339,149
328,143
310,139
308,133
303,118
304,111
307,105
287,111
290,109
300,109
314,111
327,111
317,126
314,120
315,113
311,101
284,108
288,103
295,97
310,93
309,99
295,124
305,130
308,131
324,136
320,142
312,140
311,132
317,109
317,107
304,121
322,123
329,124
335,125
327,138
330,132
330,122
302,118
307,112
314,108
331,109
304,136
316,146
333,152
341,153
323,164
329,140
334,132
314,137
332,136
341,138
332,151
328,156
331,159
333,168
311,191
322,192
333,190
314,173
320,159
330,152
312,157
324,163
329,167
337,179
313,191
321,197
335,197
334,192
318,187
323,184
325,183
325,185
324,185
320,188
307,193
285,186
282,184
277,179
308,181
308,181
309,184
305,198
300,208
303,221
313,229
288,227
289,227
292,227
291,227
287,226
293,227
299,227
302,226
318,221
325,223
306,212
305,219
304,218
305,219
308,222
310,224
310,230
312,238
313,243
313,250
301,242
299,243
306,244
315,241
326,234
333,232
322,214
327,217
329,221
312,222
302,225
301,233
305,251
311,255
313,249
309,227
319,222
331,220
320,206
326,216
330,222
317,222
298,225
297,231
298,249
303,257
311,261
303,236
315,236
326,241
305,229
306,239
307,245
304,262
302,270
287,262
286,263
293,266
299,266
284,235
293,231
305,229
322,237
326,242
326,249
301,235
