485,522,798,491,514,538
484,516,800,494,510,537
486,517,799,495,512,537
485,519,797,494,513,537
485,510,796,494,507,535
487,509,795,496,508,534
487,509,798,497,509,534
488,506,794,497,507,534
493,504,795,500,507,533
491,502,796,505,506,531
487,501,792,500,505,529
489,499,795,500,505,528
487,500,794,501,504,528
482,500,794,499,503,527
482,500,794,499,503,527
477,503,796,502,502,527
479,502,796,500,502,527
474,504,794,500,501,525
479,498,794,499,500,525
481,495,792,501,499,523
481,490,792,500,497,521
487,488,794,505,497,520
483,486,792,506,496,518
481,484,793,507,495,516
479,483,792,508,495,514
476,486,789,512,495,515
473,487,791,512,494,514
475,483,789,509,493,512
472,484,790,509,493,512
470,484,787,508,493,511
469,483,788,512,492,509
468,485,789,509,492,510
469,485,790,509,492,511
471,485,786,511,492,512
472,486,789,512,493,513
473,486,790,510,494,513
476,481,789,512,492,512
480,481,789,509,492,513
475,480,788,511,491,510
474,481,790,510,492,511
472,479,789,512,491,509
468,482,788,513,492,508
465,484,784,511,491,507
464,486,787,514,491,508
461,488,788,511,490,507
458,489,786,512,489,506
459,489,786,513,489,506
458,491,785,511,489,506
454,494,785,513,487,505
453,500,783,511,487,505
452,501,786,513,486,504
452,499,786,514,486,503
451,503,785,513,485,504
449,502,785,515,484,504
450,503,781,514,484,504
448,503,784,514,483,503
447,505,781,513,481,503
446,506,782,513,480,503
447,506,780,515,481,503
446,505,783,515,481,502
447,507,782,517,481,503
447,501,781,515,482,504
448,501,780,514,482,505
446,491,780,518,478,505
446,487,780,514,476,504
445,486,781,519,475,504
446,485,782,515,475,504
446,484,783,516,475,504
445,485,782,515,474,504
445,483,782,514,474,503
445,484,776,521,474,503
446,485,780,516,475,504
446,487,780,516,476,505
448,485,779,520,477,504
449,485,779,519,477,504
447,489,780,516,478,504
445,491,775,519,477,502
445,493,779,517,478,502
442,495,776,520,476,502
439,497,778,520,474,500
442,497,778,519,476,501
439,504,777,518,474,500
442,500,774,518,476,501
439,508,776,519,473,500
440,511,774,516,472,501
440,515,773,522,471,501
440,518,770,523,469,501
438,517,771,520,469,501
436,515,771,519,468,502
436,516,771,521,468,502
430,512,769,520,464,504
430,510,768,520,464,505
428,507,769,519,463,505
429,501,770,519,464,505
427,500,768,518,462,505
429,504,769,521,464,505
427,502,769,518,462,505
431,499,770,517,465,505
430,495,770,520,463,505
432,490,771,518,463,505
435,485,771,521,462,505
437,485,774,518,465,505
442,481,778,520,469,503
445,481,781,519,471,504
451,481,788,522,478,503
456,480,789,525,481,504
463,481,798,520,489,504
468,481,805,520,495,504
