552,522,630,508,780,513,,,,
552,522,627,508,779,514,,,,
553,521,626,508,779,515,,,,
554,521,628,508,778,515,,,,
555,521,625,508,777,515,,,,
553,522,625,507,775,517,,,,
554,521,626,508,776,516,,,,
554,522,629,508,774,517,,,,
554,521,626,508,773,518,,,,
555,521,628,508,772,519,,,,
556,521,635,509,771,518,,,,
556,521,633,508,772,517,,,,
556,521,632,509,772,519,,,,
558,520,632,508,772,518,,,,
558,520,632,508,772,518,,,,
497,523,558,521,702,517,772,518,,
498,523,558,520,633,508,773,517,,
496,522,560,520,631,508,772,518,,
496,521,560,520,631,508,772,517,,
495,520,560,520,643,510,770,519,,
493,516,561,520,639,509,705,517,770,519
493,516,560,520,698,516,769,520,,
493,513,561,520,633,508,767,520,,
492,511,559,521,641,509,767,520,,
491,510,560,521,700,517,766,521,,
491,510,560,521,700,516,762,522,,
491,509,560,521,701,517,764,521,,
490,508,561,520,697,516,763,521,,
490,507,562,520,701,517,764,522,,
489,506,560,521,701,517,762,522,,
488,505,562,520,701,516,761,521,,
489,506,561,521,700,517,763,521,,
489,507,564,520,640,509,763,521,,
489,507,561,521,700,517,760,522,,
489,509,562,521,700,517,762,522,,
490,509,564,519,701,516,763,521,,
488,507,561,521,699,516,762,522,,
489,509,562,521,698,517,763,521,,
488,506,562,520,698,516,761,522,,
489,506,563,520,700,517,763,521,,
488,504,565,519,701,517,762,522,,
487,503,565,520,698,516,761,522,,
489,504,566,519,701,517,758,523,,
489,506,564,520,702,517,759,522,,
493,509,564,521,701,517,761,522,,
493,509,565,520,702,517,759,522,,
494,510,566,519,696,516,759,522,,
496,511,566,520,699,516,759,522,,
496,512,567,519,697,516,758,523,,
499,513,567,520,700,516,757,523,,
498,512,567,519,698,516,758,522,,
498,512,570,518,701,517,758,522,,
500,514,567,520,698,516,758,523,,
502,514,568,520,694,516,757,522,,
502,514,571,519,698,516,754,523,,
500,513,570,519,702,517,754,523,,
502,514,569,519,697,517,754,523,,
501,514,571,519,697,516,755,523,,
501,514,571,519,696,516,753,523,,
504,514,572,518,701,517,753,523,,
502,513,572,518,702,517,,,,
505,515,572,518,699,517,,,,
503,514,573,518,702,517,,,,
502,514,572,518,697,517,,,,
501,513,575,517,698,517,,,,
497,512,575,518,698,517,,,,
497,512,575,518,696,516,754,523,,
469,501,578,517,697,516,755,523,,
469,502,577,518,696,517,754,523,,
468,501,580,517,696,516,754,523,,
469,501,580,517,693,515,,,,
470,502,581,516,700,516,,,,
471,502,581,517,698,516,,,,
471,502,583,517,697,516,,,,
472,502,581,517,700,516,,,,
473,501,579,518,696,516,752,523,,
493,510,583,517,700,516,,,,
492,509,582,517,700,516,,,,
497,511,581,518,694,516,,,,
498,510,583,517,698,516,,,,
500,511,582,517,696,515,,,,
500,511,583,517,697,516,,,,
503,512,581,518,696,516,,,,
502,512,582,517,699,516,,,,
505,513,585,517,698,516,,,,
506,513,583,518,690,515,,,,
507,513,583,517,696,516,,,,
507,513,584,517,697,516,,,,
510,513,584,517,698,516,,,,
512,513,583,517,697,516,,,,
512,514,583,517,694,516,,,,
512,514,583,517,694,516,,,,
457,505,514,515,586,516,695,516,,
515,515,584,517,693,515,,,,
513,515,583,517,694,516,,,,
512,515,584,517,695,516,,,,
456,505,513,515,583,518,695,516,,
513,515,582,517,693,515,,,,
512,515,584,517,696,516,,,,
514,516,585,517,694,516,,,,
516,516,584,517,699,516,,,,
516,516,587,517,699,517,,,,
520,515,594,516,700,515,,,,
523,516,593,517,703,516,,,,
532,517,603,517,710,517,,,,
526,515,608,517,714,516,,,,
540,517,611,518,720,517,,,,
540,516,620,517,727,517,,,,
539,515,622,517,728,517,,,,
541,515,624,517,730,516,,,,
541,515,626,518,735,517,,,,
498,500,627,518,730,516,,,,
498,499,627,518,733,517,,,,
499,499,627,517,730,517,,,,
499,498,628,518,731,516,,,,
498,498,626,518,735,517,,,,
498,498,627,518,736,517,,,,
499,498,627,517,736,517,,,,
500,498,625,518,733,517,,,,
511,504,628,517,733,517,,,,
535,512,629,518,733,517,,,,
541,513,627,518,734,517,,,,
544,514,627,518,735,517,,,,
546,514,628,518,731,517,,,,
546,515,628,518,730,517,,,,
547,514,627,518,734,517,,,,
550,514,627,519,733,517,,,,
549,515,629,518,733,517,,,,
495,509,551,515,623,519,731,517,,
494,510,550,515,628,518,733,518,,
495,511,553,515,628,518,730,517,,
495,514,552,515,629,518,734,518,,
494,516,554,515,626,518,731,517,,
494,515,553,514,628,517,731,517,,
494,517,554,514,626,518,731,517,,
491,520,553,514,628,517,729,517,,
491,520,553,514,626,518,729,517,,
491,521,556,515,626,518,730,517,,
490,520,553,514,626,518,729,517,,
488,521,558,516,625,519,728,517,,
488,520,558,516,625,518,729,517,,
489,519,559,516,627,518,730,517,,
493,518,558,516,629,518,730,517,,
494,518,560,516,628,518,729,517,,
493,518,561,516,629,518,730,517,,
495,517,557,515,631,517,732,517,,
496,518,561,516,631,517,729,516,,
485,520,562,516,633,517,728,517,,
493,517,561,516,631,517,729,517,,
486,520,560,516,625,518,729,516,,
487,519,561,516,632,517,730,516,,
485,521,562,517,633,517,731,517,,
486,521,560,516,631,517,729,516,,
486,521,559,516,633,517,729,517,,
487,521,559,516,633,517,730,517,,
488,521,560,516,630,517,731,517,,
488,521,561,516,631,517,729,517,,
489,521,561,516,632,517,729,517,,
489,521,564,516,634,517,731,517,,
492,520,561,515,631,518,731,517,,
498,517,563,516,633,517,730,517,,
503,515,565,516,633,517,730,517,,
506,515,565,516,633,517,728,516,,
506,515,563,516,633,516,730,517,,
509,515,566,517,633,517,728,517,,
564,517,632,517,729,517,,,,
562,516,634,516,729,516,,,,
563,517,635,516,729,516,,,,
561,516,632,516,728,516,,,,
561,517,633,517,730,517,,,,
561,517,628,517,727,516,,,,
560,518,627,517,727,516,,,,
502,513,560,518,631,517,728,517,,
496,513,559,517,630,517,730,517,,
498,513,558,517,629,517,727,516,,
498,513,558,517,629,517,727,516,,
485,515,557,517,628,518,731,517,,
486,515,558,517,629,517,729,517,,
487,514,556,517,626,518,729,516,,
489,515,557,517,624,518,727,516,,
489,515,551,516,623,518,726,516,,
490,514,552,517,622,518,730,517,,
491,513,550,516,620,518,728,516,,
494,512,549,517,616,519,726,516,,
548,517,617,519,727,517,,,,
546,516,617,518,724,516,,,,
548,517,614,519,726,516,,,,
547,518,616,518,728,517,,,,
546,518,613,519,727,517,783,523,,
545,518,612,519,723,516,784,524,,
542,517,613,518,723,516,789,523,,
542,518,613,518,728,517,790,523,,
543,518,613,518,726,516,791,523,,
539,517,610,519,725,516,792,522,,
539,518,613,518,728,517,792,523,,
534,516,610,518,720,515,796,521,,
528,513,611,518,726,516,796,522,,
527,513,606,519,723,516,800,520,,
527,513,606,519,723,516,800,520,,
527,513,606,519,723,516,800,520,,
527,514,606,519,723,516,801,520,,
527,514,606,519,723,516,801,520,,
527,515,604,520,723,516,,,,
532,518,606,519,723,517,801,520,,
537,522,608,517,721,517,803,519,,
542,525,602,519,719,517,806,517,,
548,528,603,518,716,517,809,513,,
599,519,712,516,810,511,,,,
602,518,710,516,812,508,,,,
602,518,706,515,813,507,,,,
604,517,702,514,819,501,,,,
603,517,704,515,817,503,,,,
